source_ticker,ticker,asset_type,date,close,volume,ret_1d,ret_20d,ret_60d,ret_120d,ret_252d,ma_20,ma_50,ma_200,volatility_20d,volatility_60d,rolling_high_252d,rolling_low_252d,dist_from_52w_high,dist_from_52w_low,is_active,source
SPY.US,SPY,etf,2012-05-14,106.094,206936680.0,-0.010972210569492269,-0.021634083364072354,-0.009836861163997512,0.1112670627372443,0.02137204690297856,109.16324999999999,109.59482,100.47742899999999,0.0077276887888227085,0.007508485230706876,112.211,86.0245,-0.05451337212929219,0.233299815750164,True,etf_core
HON.US,HON,stock,2012-05-21,40.7692,6367791.0,0.03260219847018897,-0.03032522916359448,-0.03147702058715929,0.12513315854836482,-0.000664275926983704,41.94191,42.17982,37.897153,0.013050574367297965,0.013294331357039994,43.8796,29.2157,-0.07088487588765635,0.3954551833432025,True,sp500_core
XLB.US,XLB,etf,2012-05-25,12.7994,18205578.0,-0.004108246059040477,-0.07964996296855564,-0.08730220983050119,0.010580005368957979,-0.10778217711353999,13.10417,13.524814,13.035137500000001,0.011359269967999791,0.011503468211283409,15.0229,10.629,-0.1480073754068788,0.20419606736287532,True,etf_core
LOW.US,LOW,stock,2012-06-04,22.1845,19364507.579284,0.01140218104894597,-0.14244573725816112,-0.08787214709498103,0.0781474011615193,0.1654155087546032,23.39032,24.997032,21.1027125,0.02724145732879338,0.018028983166200243,26.7091,14.8227,-0.1694029375755829,0.4966571542296614,True,sp500_core
AAPL.US,AAPL,stock,2012-06-11,17.1306,703715374.0,-0.015675097969362284,0.00786614029617172,-0.024536628420123385,0.4992254710623738,0.7527940892082621,16.86458,17.469786000000003,14.184743500000002,0.01991418745054602,0.021963463645519266,19.0811,9.459,-0.10222157003527044,0.8110371075166509,True,sp500_core
PEP.US,PEP,stock,2012-06-15,51.3408,11930561.26335,0.003006628649127041,0.01821816580791813,0.07137669969365867,0.0689942365992604,0.041463137566738695,50.266904999999994,49.323606,47.05320900000001,0.006552062647852668,0.006587703562530582,51.3408,43.1618,0.0,0.18949626753286486,True,sp500_core
CAT.US,CAT,stock,2012-06-22,63.6005,8566841.9497889,-0.00021693235640418695,-0.07067355181100343,-0.1816619080766504,-0.05408058396679194,-0.13930671430214692,65.019095,70.62951,71.95968549999999,0.020956645049336455,0.018812530070844186,86.6161,52.0675,-0.2657196525819103,0.2215009362846303,True,sp500_core
SPY.US,SPY,etf,2012-06-28,105.607,212658400.0,-0.0028044266505513615,0.01517860575998764,-0.0551569266005798,0.049854859233338544,0.03730514983940525,104.99465000000001,106.34557999999998,102.4240565,0.012192311238642879,0.009961434780894398,112.211,86.0245,-0.05885341009348455,0.22763863782992044,True,etf_core
GOOGL.US,GOOGL,stock,2012-07-06,14.5966,86782177.0,-0.016679915387828315,0.013385356641997248,-0.07859054640945351,-0.062433359454286186,0.07204970768824004,14.266449999999997,14.690332000000001,14.9391895,0.013927783294600647,0.015506816090722396,16.6466,12.2287,-0.12314827051770327,0.1936346463646994,True,sp500_core
VTI.US,VTI,etf,2012-07-12,57.0947,1756875.9994973,-0.003928827510166544,0.02041921497278043,-0.03676329170729731,0.0223230912476724,0.020021795833780054,57.369600000000005,56.953534,55.526222000000004,0.010841036207937964,0.01020958506154589,60.5234,45.8922,-0.05665081604800781,0.24410466266598685,True,etf_core
KO.US,KO,stock,2012-07-19,27.9233,25066864.707225,0.0014058190868631026,0.026297605833621285,0.053466937799223624,0.16624552581349783,0.15814817733499797,27.757155,27.273185999999995,25.2950395,0.009402248462970603,0.008844952177581801,28.5046,22.3897,-0.020393199694084374,0.24714935885697442,True,sp500_core
XLV.US,XLV,etf,2012-07-25,31.859,5976062.5903718,0.004787556138668769,0.013249624710581998,0.006584393344833961,0.054008899475625594,0.0982643018425633,32.18463,31.419956000000003,30.0644905,0.008559928528710513,0.008070420777230983,32.8726,24.8747,-0.030834190176621146,0.2807792656795862,True,etf_core
NFLX.US,NFLX,stock,2012-08-01,0.77857,338385670.0,-0.04133523776688752,-0.2434457292780099,-0.25801010197274366,-0.5634350117752608,-0.7881038565168876,1.0678245,0.998859,1.2656922,0.06875473163497416,0.04679832597389773,3.7143,0.77857,-0.7903858062084377,0.0,True,sp500_core
AVGO.US,AVGO,stock,2012-08-08,2.77189,23220063.109506,0.002140297978647787,0.13236351455136686,0.20926001867185517,0.053485914957661196,0.28428129285740766,2.611509,2.5453738,2.48222825,0.021330922430100742,0.02490068962409549,2.86924,2.01373,-0.033928845269130536,0.3764953593580074,True,sp500_core
SHY.US,SHY,etf,2012-08-14,78.2486,1895057.3153134,-0.0002542529881115474,-0.0004202780989122079,0.001197620113876141,0.0022851228765905507,0.00211953674994958,78.297105,78.23502400000001,78.1404635,0.00031358690835353305,0.0002808982417897804,78.3374,77.8868,-0.001133558172724758,0.004645203038255552,True,etf_core
DIS.US,DIS,stock,2012-08-21,44.444,8401410.0,-0.016072614567190557,0.030752817848694214,0.11550624968626089,0.17096561717823744,0.5763078560028374,44.510000000000005,43.486999999999995,38.083865,0.010400937736113667,0.01118365048058273,45.205,25.537,-0.016834420971131414,0.7403767083055959,True,sp500_core
USO.US,USO,etf,2012-08-27,284.88,926345.0,-0.001961883408071796,0.06457399103139005,0.13299395482023546,-0.12312238364934747,0.07420814479638005,279.14399999999995,265.672,294.4844,0.014165460739451298,0.0204212450268021,336.08,235.68,-0.1523446798381337,0.20875763747454168,True,etf_core
IVV.US,IVV,etf,2012-09-04,115.959,15617381.865891,-0.004250605389252371,0.007857111816087947,0.06321001237793977,0.015731892119162927,0.22031533152746996,116.37524999999998,113.72059999999999,109.8171905,0.004042490054153037,0.008501936771754861,117.258,89.1019,-0.011078135393747024,0.3014200595049039,True,etf_core
XLK.US,XLK,etf,2012-09-10,12.8711,14969539.0,-0.01065358924494797,0.02079483539404703,0.09571117240439952,0.026755586046251834,0.32960002809792543,12.788445,12.37502,11.813661,0.007857911517609149,0.010100602162992507,13.0307,9.54393,-0.01224799895631079,0.3486163456773048,True,etf_core
MRK.US,MRK,stock,2012-09-17,30.0515,16121564.905869,0.008730707519619907,0.02496981520767827,0.12599245379165125,0.15746072340573036,0.40616153439425773,29.518695,29.525348000000005,26.483054499999998,0.009657260179819821,0.01228873345657234,30.5105,20.3094,-0.015044001245472893,0.4796842841245925,True,sp500_core
AGG.US,AGG,etf,2012-09-24,91.4252,1496215.3067497,0.0008944259854286596,0.0041020650904926015,0.010967186902184345,0.03731842003446939,0.04512339688081224,91.23603499999999,91.17359199999999,89.629607,0.0016577996487043168,0.001589851357580492,91.5725,86.6225,-0.001608561522291052,0.055444024358567434,True,etf_core
QQQ.US,QQQ,etf,2012-09-28,61.2763,33692507.0,-0.008215732577580903,0.015629842889415935,0.05907902264332909,0.04223447609587505,0.28515190791984923,61.73076,60.164352,56.974042,0.008952358349270695,0.00876208897740242,62.7339,45.2521,-0.023234646658345848,0.35410953303824577,True,etf_core
DHR.US,DHR,stock,2012-10-05,40.8358,2568386.0380079,-0.0015525938096739855,0.025885935074135613,0.14038448649493973,0.031511835567579416,0.32604001259932525,39.986264999999996,39.147792,38.1014355,0.009486443617544029,0.010452018224210383,40.8993,30.5193,-0.0015525938096739855,0.33803199942331563,True,sp500_core
TXN.US,TXN,stock,2012-10-11,20.7685,13095282.738217,0.0048139726159950325,-0.05565963096677973,-0.006410716421480722,-0.13390965654139364,-0.06004046145978059,21.372895,21.860935999999995,22.808056,0.013054278589653594,0.014082954015301243,25.5575,19.981,-0.18738139489386685,0.03941244181972858,True,sp500_core
IBM.US,IBM,stock,2012-10-18,131.359,13797662.521358,-0.028294768611669907,-0.05437935974314856,0.02481705128805256,-0.05064105343798331,0.11700779768535452,139.40155000000001,136.5506,132.61220500000002,0.014335185413982458,0.010538033360835586,142.163,117.462,-0.07599727073851847,0.11831060257785508,True,sp500_core
XLE.US,XLE,etf,2012-10-24,22.0117,34597588.0,-0.007605814142215506,-0.021797868652842722,0.02689022313660172,0.05220966084275447,0.06541047322642957,22.691544999999998,22.581386000000002,21.623065,0.010837045803841126,0.00990948120239533,23.5656,18.9871,-0.065939335302305,0.15929762838980155,True,etf_core
MA.US,MA,stock,2012-11-02,44.2497,10092511.913811,0.0016025749848909143,-0.008554496263849631,0.1280275317060735,0.11276049459710236,0.40761229164015766,44.120415,42.608014000000004,40.1205825,0.011550035664497527,0.01056475018810524,45.5296,31.8955,-0.028111382485240477,0.3873336364063895,True,sp500_core
ABT.US,ABT,stock,2012-11-09,25.6673,23175561.830893,0.02145398397020082,-0.07187488700054245,-0.012879679411741951,0.06909219651373477,0.234123473410905,26.350479999999997,26.706202000000005,24.6141695,0.016880577168273538,0.01189048011482068,28.5508,19.9538,-0.10099541869229578,0.28633643716986246,True,sp500_core
PG.US,PG,stock,2012-11-15,49.4567,12458217.626662,-0.0032006127117534255,-0.03100368149124888,0.001719605118711387,0.07792482356684838,0.08734758309551971,50.90015,50.938314,48.333096999999995,0.010750860150590364,0.00740571093543655,52.2574,43.4633,-0.053594323483372674,0.1378956498931283,True,sp500_core
